190130,ADMINISTRAÇÃO REGIONAL DO ITAPOÃ,2497234,22533
190129,ADMINISTRAÇÃO REGIONAL DO JARDIM BOTÂNICO,3548037,54324
190120,ADMINISTRAÇÃO REGIONAL DO LAGO NORTE,2668105,34
190118,ADMINISTRAÇÃO REGIONAL DO LAGO SUL,3205055,31
190109,ADMINISTRAÇÃO REGIONAL DO PARANOÁ,2747012,46283
190126,ADMINISTRAÇÃO REGIONAL DO PARK WAY,4628580,116644
190117,ADMINISTRAÇÃO REGIONAL DO RECANTO DAS EMAS,2662690,47481
190119,ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO,6338641,282464
190123,ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO II,6851014,20218
190124,ADMINISTRAÇÃO REGIONAL DO SUDOESTE/OCTOGONAL,810697,3077
190125,ADMINISTRAÇÃO REGIONAL DO VARJÃO,3205741,53958
190131,ADMINISTRAÇÃO REGIONAL SETOR IND. E ABASTECIMENTO,3589896,0
190108,ADMINISTRAÇÃO REGIONAL DE PLANALTINA,15372275,667372
190114,ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA,10103852,165487
190115,ADMINISTRAÇÃO REGIONAL DE SANTA MARIA,7313083,99613
190107,ADMINISTRAÇÃO REGIONAL DE SOBRADINHO,7436761,108136
190128,ADMINISTRAÇÃO REGIONAL DE SOBRADINHO II,7434217,93075
190116,ADMINISTRAÇÃO REGIONAL DE SÃO SEBASTIÃO,3515901,58534
190105,ADMINISTRAÇÃO REGIONAL DE TAGUATINGA,6172232,2935
190132,ADMINISTRAÇÃO REGIONAL DE VICENTE PIRES,17398023,268602
190122,ADMINISTRAÇÃO REGIONAL DE ÁGUAS CLARAS,3043690,8501
190110,ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE,12075717,102041
190113,ADMINISTRAÇÃO REGIONAL DO CRUZEIRO,5937830,23720
190104,ADMINISTRAÇÃO REGIONAL DO GAMA,4593661,63000
190112,ADMINISTRAÇÃO REGIONAL DO GUARÁ,8810053,117319
190121,ADMINISTRAÇÃO REGIONAL DA CANDANGOLÂNDIA,3263935,47681
190106,ADMINISTRAÇÃO REGIONAL DE  BRAZLANDIA,2965636,43487
190103,ADMINISTRAÇÃO REGIONAL DE BRASÍLIA,7744037,132598
190111,ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA,9110264,303812
